Actual,Predicted
0.6,11.986575
2.7,10.624697
8.5,13.060537
0.5,7.3931627
4.2,17.485361
25.2,22.228811
40.6,12.305288
9.7,6.016279
0.0,3.8767314
29.5,6.190438
31.7,9.936288
8.2,1.9533263
1.8,4.06043
1.8,8.655396
33.3,10.730155
16.6,13.362693
8.6,9.227039
0.0,6.384693
18.2,5.3265786
4.4,14.522359
0.0,7.2082744
0.0,8.249602
0.0,5.180761
14.6,4.014721
0.5,14.034094
0.0,11.864238
15.2,19.469654
14.0,14.070473
0.4,13.012601
12.0,4.240001
31.0,19.276966
7.2,12.260404
0.0,2.4168446
0.0,2.1345177
0.0,13.571694
0.0,10.473798
13.5,3.714197
1.4,8.5234165
0.0,7.063845
0.0,8.107801
0.0,9.489574
1.0,9.320063
0.0,9.470134
11.8,8.199014
0.0,7.1111045
0.1,4.1906724
18.0,3.29282
0.0,13.989518
0.0,6.966005
0.2,4.870303
1.2,8.90397
3.1,13.94118
0.3,8.053178
4.6,9.523501
0.0,1.5064384
0.0,-1.5782897
0.0,0.06921322
0.0,-9.037886
0.0,-0.7007459
0.0,4.001388
0.0,1.805331
0.0,2.8443062
0.0,4.905916
1.5,4.0834985
0.0,3.5630403
21.3,-2.1734736
1.8,10.754791
10.0,9.4233265
33.8,15.709458
18.0,17.164557
0.0,6.9489975
27.3,11.062529
28.7,7.2892175
0.8,5.3249364
52.1,5.922836
59.0,16.108662
32.8,24.405264
29.0,18.123188
31.6,10.874024
33.2,19.695288
9.0,12.9734125
0.0,6.953383
0.0,9.810254
0.0,9.474644
58.9,3.3442695
0.0,12.480938
4.0,13.017829
0.0,11.272024
0.0,8.234203
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
10.5,5.77271
0.0,16.766645
0.0,10.3306675
43.8,13.874575
0.0,9.869248
0.0,15.025596
0.0,22.819523
0.0,13.791375
0.0,17.793676
12.0,12.298672
0.0,16.224922
27.8,20.79592
16.0,18.752625
0.0,4.451846
12.0,13.951489
0.0,11.49779
0.0,7.313092
4.0,15.091862
5.8,14.344309
43.4,19.048182
0.0,22.54228
48.8,14.729719
9.2,9.3471
5.1,20.284435
4.0,16.816772
13.0,13.73547
0.7,14.509298
14.5,14.13957
0.5,13.075851
0.0,13.226533
0.0,7.634976
0.0,12.3342
3.2,15.202354
14.1,13.810212
115.4,16.17842
17.7,16.213148
15.9,16.98582
0.0,15.239845
11.5,12.787302
19.0,13.561017
2.0,17.287884
6.0,16.440432
0.2,11.817156
10.5,12.377365
20.2,19.464285
0.3,14.406576
10.1,15.527899
12.4,11.746846
1.0,14.036192
5.2,16.022703
0.0,16.492344
0.0,8.601557
83.4,13.748162
0.8,16.609022
0.0,14.697158
0.0,12.24734
0.4,12.794
8.2,14.296114
23.2,17.537535
0.0,22.82807
0.0,10.502006
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,13.196609
0.0,23.00426
2.2,13.890393
13.0,8.452282
25.8,11.514614
4.2,13.529119
77.6,15.627355
15.4,17.116243
6.6,17.068663
0.0,15.947581
11.0,20.097786
6.4,14.259996
14.9,14.26542
4.0,13.783245
0.0,11.686655
1.3,2.5970216
73.4,12.508458
6.5,18.511372
14.7,23.003832
2.8,10.839863
6.4,11.105204
1.8,12.288472
3.4,13.410748
80.9,12.341538
39.2,23.154953
6.9,18.306519
0.0,17.500107
5.1,14.940006
0.6,14.951321
37.3,15.434155
4.6,15.190895
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274437
27.1,13.274437
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
27.1,13.274441
0.6,11.719492
0.9,15.249886
17.4,15.324109
1.0,15.513612
3.4,10.227629
22.8,9.927208
2.4,15.930692
3.0,14.668424
4.0,9.788479
25.8,20.193737
0.0,6.570204
0.3,11.559388
0.3,12.28844
0.0,4.9882765
0.0,3.117866
0.0,0.06727645
0.0,4.4281187
0.0,3.1899889
1.6,2.4297447
4.2,11.638125
28.0,11.448491
0.0,3.640246
18.8,5.9932075
8.6,13.459307
15.0,9.267928
0.0,7.472817
37.3,7.813847
8.2,15.538595
2.2,9.838901
2.8,12.873838
0.2,7.7300577
0.0,3.9853783
2.0,7.187736
52.2,16.757517
0.0,4.4355197
0.0,16.63909
0.0,8.300419
18.6,11.47998
0.0,5.9649515
0.0,8.964382
0.5,8.100467
18.4,5.3941298
40.8,10.972288
4.2,13.141183
0.8,13.369637
0.0,18.266874
13.6,20.314234
0.0,17.113235
21.8,10.295088
0.0,7.8591695
0.0,8.456726
0.0,11.626807
30.0,17.151443
5.2,11.988947
0.0,8.005775
0.0,6.994169
0.0,9.725195
0.0,13.959785
0.0,18.365988
1.8,11.877468
1.5,6.9470534
1.6,11.032244
0.0,3.4908936
3.8,9.049291
40.0,5.353955
10.8,15.576512
10.0,5.2305646
23.6,16.115196
7.0,18.427618
2.5,7.11454
0.1,7.549905
3.0,12.485085
20.5,2.3581357
0.0,2.8769994
1.4,3.1175659
1.5,10.643563
0.5,9.529047
0.0,6.405589
0.2,10.83033
61.5,11.627312
15.2,3.5365956
6.4,9.822446
0.1,8.950301
8.9,4.560747
51.0,16.170847
4.3,16.017982
27.6,18.349245
0.0,8.750008
3.0,9.682976
4.3,19.082306
15.4,9.217422
48.3,15.577175
18.8,22.229433
2.5,3.6070447
0.0,4.8800898
0.0,6.640863
0.0,3.2174866
5.6,6.249782
12.0,16.340294
0.0,6.1032243
8.0,10.161977
0.0,6.5881834
0.0,10.204093
30.8,8.381204
51.5,19.846548
2.0,2.2217996
26.1,15.328715
0.0,13.804314
28.5,18.129421
0.0,5.2298985
0.4,3.0054045
0.0,3.4657965
0.0,16.459724
9.6,15.118709
0.0,9.533646
0.0,8.486146
20.2,6.500675
3.3,15.489457
5.5,8.800989
0.0,0.7493591
15.3,19.303448
2.5,12.144201
4.0,11.325653
0.0,0.89355475
41.6,9.301517
0.0,12.705916
3.0,12.429897
0.0,5.986753
37.4,10.825487
70.7,13.626543
0.0,12.671228
1.0,5.8630867
2.3,4.413924
2.3,2.2855823
2.0,2.3055594
12.0,13.080281
1.5,14.951387
0.0,12.08763
9.4,11.2257805
0.5,10.732393
13.8,8.152079
0.0,6.400843
58.5,9.577477
2.0,3.1310773
41.3,14.41341
34.3,22.083855
0.0,8.391639
18.0,14.133694
0.0,1.2993989
0.0,7.524322
4.2,9.382007
0.0,14.823844
0.0,13.318121
0.0,24.013521
0.0,8.158339
0.0,10.430655
0.0,7.4162016
0.0,14.085429
0.0,10.893061
2.7,5.4743733
23.0,11.357584
6.8,14.602326
5.0,10.553316
0.0,7.166597
0.0,7.145558
6.3,17.658348
0.0,14.140233
4.6,12.969358
1.2,10.204299
4.6,5.700777
0.0,14.391038
12.5,13.854106
0.0,14.906558
2.4,10.004892
17.0,14.344422
75.0,14.367793
0.0,10.898065
17.3,18.693182
2.0,8.629231
0.0,6.994298
0.0,5.19018
0.0,5.2071357
0.3,9.117899
0.0,9.424973
0.0,1.3240283
46.6,11.061074
0.0,16.019146
0.0,7.205244
6.9,16.783314
16.4,9.851858
0.0,12.080082
0.2,2.2167478
2.0,5.9273133
1.0,12.216286
0.8,9.112217
0.1,9.872268
0.0,11.913615
49.9,10.533657
86.7,21.242968
0.0,6.268406
2.9,11.281476
2.4,13.153838
4.3,7.550041
1.0,11.741304
6.4,13.285531
8.2,11.50201
20.0,14.073532
2.4,15.40373
27.1,18.86344
0.6,10.132123
9.5,15.431722
7.4,13.21291
0.3,14.562416
85.2,21.509993
0.0,8.62732
0.2,10.623246
0.0,10.94898
0.0,8.344843
0.0,11.101253
0.3,17.410938
0.0,18.075468
1.9,14.8615885
1.0,16.94073
0.1,13.674855
0.0,16.391563
46.6,22.071056
0.0,6.1562204
0.0,7.090886
0.0,12.242406
0.7,17.067522
60.0,17.17413
2.0,12.780644
0.0,11.639908
1.2,12.219143
13.2,14.693347
12.6,20.01906
0.0,16.990923
78.3,14.181222
8.9,18.984625
41.0,19.88026
0.0,8.020077
0.0,12.937332
44.6,23.41533
12.0,16.157925
55.0,16.553614
58.0,19.838701
6.0,16.813631
0.0,11.366355
0.0,13.836797
15.2,18.085016
12.0,16.11121
53.6,20.077112
34.6,21.926266
13.2,15.579351
184.0,17.091915
19.5,17.268728
0.0,23.307173
38.0,23.507658
128.6,20.745975
17.8,18.589283
0.0,21.588377
22.4,16.953356
94.0,15.538742
0.0,17.315042
0.0,10.782349
1.6,8.524054
0.0,14.568819
15.0,20.360712
0.0,12.985051
2.9,19.088585
43.2,6.8397393
0.5,12.878289
0.0,14.108059
38.6,7.7757335
2.0,17.103743
1.8,16.049675
16.1,15.276555
1.5,14.956059
3.5,15.128179
6.0,16.442776
0.0,7.240596
1.1,15.630061
0.0,12.438565
0.0,12.486152
0.8,12.371455
10.0,13.100938
22.0,16.559053
0.0,12.522825
15.6,13.986378
1.1,13.080715
46.6,16.005018
42.0,26.368223
46.3,14.037385
55.7,25.99808
4.1,15.7769985
0.0,15.906155
0.8,12.848863
0.5,8.455279
0.0,9.592308
0.0,5.4632277
0.0,6.174189
11.0,15.280944
1.8,15.262578
0.4,14.176313
0.4,11.1668415
0.6,11.22616
1.5,6.1730256
0.0,11.881352
0.3,12.90863
7.3,9.835495
6.5,17.623379
1.8,17.54305
22.8,15.689803
1.0,19.568098
4.5,12.928694
18.0,11.928236
0.0,12.745289
0.0,13.094656
0.0,16.240374
0.5,10.772322
0.0,18.335651
19.9,17.059444
18.9,7.5292816
0.3,10.144731
1.0,19.383099
5.8,9.437006
6.1,14.756989
1.2,12.39856
8.0,14.11831
0.0,17.666113
0.5,18.58637
6.1,20.065435
4.1,20.315489
168.3,16.39196
4.0,15.288809
26.3,15.180689
5.5,14.956111
1.3,19.455585
0.0,14.563433
5.3,14.460739
46.9,21.079582
2.8,16.928862
1.0,19.369268
2.4,15.903408
4.1,18.627228
0.0,14.858828
3.0,16.592535
0.0,6.421061
3.6,17.428694
0.3,13.954752
2.0,13.99471
1.6,13.246446
2.0,12.550452
0.6,15.443785
1.2,14.985932
1.9,17.94952
3.0,13.425203
25.2,13.243699
204.0,20.703043
0.8,20.073143
0.0,13.860829
2.0,11.639164
36.0,13.828118
0.0,15.359752
0.0,10.303892
0.0,11.795435
0.0,19.411076
69.7,20.02073
1.4,13.350877
4.5,19.315798
3.0,7.1884723
0.0,11.47952
2.8,9.82411
0.0,17.395683
28.0,14.869686
0.5,9.625079
0.0,16.419182
0.0,15.069262
5.0,22.43229
22.3,10.169224
0.2,11.543382
2.8,11.532656
27.0,9.836077
0.0,12.28834
8.2,8.39764
0.0,10.651984
14.7,12.4614935
6.4,11.590027
0.8,12.776933
1.3,10.944205
0.0,10.153486
2.0,14.017966
2.8,11.420654
2.2,15.624207
4.6,9.11467
0.0,5.3880253
0.2,3.2524128
0.0,4.745166
6.1,8.896679
9.6,8.584111
47.5,15.194526
0.0,11.827981
6.6,5.529627
24.0,8.488896
0.0,8.479254
0.6,4.93749
0.0,5.68617
0.0,3.8490345
0.0,6.0303154
0.0,3.5947797
0.0,2.0242598
49.6,15.686091
0.0,10.856306
0.0,2.3602529
0.0,3.6716247
0.0,8.768458
0.0,0.88193595
0.0,4.4856973
0.0,3.5654151
29.2,18.917036
0.0,6.751557
0.0,6.9510336
0.0,8.175092
24.4,5.329679
41.5,14.486584
1.9,9.737036
0.0,6.848834
2.5,15.388619
58.7,11.8203
28.7,18.591074
28.5,12.478383
27.7,13.227744
28.8,12.553549
0.0,14.948748
2.7,9.131983
0.8,17.57201
0.0,5.6840568
0.0,0.8581461
0.0,6.2253256
1.5,5.499371
0.0,8.945073
0.0,12.246658
2.8,6.3494153
12.9,15.513343
1.5,9.044883
0.0,2.7542021
3.4,5.255411
9.2,13.516353
0.0,-1.6214142
2.9,6.1145835
0.0,-0.5930654
3.0,1.2418149
30.0,14.239314
24.5,20.319086
1.2,17.360394
21.2,7.4681225
40.4,17.74727
23.8,19.732447
26.7,15.434045
11.0,13.859942
57.6,12.611445
0.2,13.66308
0.3,14.65881
9.0,7.246962
0.8,7.695476
0.0,9.460144
0.0,7.126032
0.0,4.7608128
1.4,4.313076
0.0,16.301598
42.5,6.47926
49.5,11.114177
3.6,17.249388
0.0,8.774906
0.0,9.270458
17.0,13.845453
2.0,10.572414
2.1,5.1052785
3.4,8.006522
0.0,4.5208187
0.0,-1.5088881
0.0,1.3348389
0.0,6.073046
0.0,4.8251643
3.0,1.8931485
0.0,1.4307495
0.0,-4.3528614
0.0,6.761701
13.8,-1.8732756
2.3,8.961414
0.0,3.9601636
40.8,9.353655
0.5,8.726512
0.0,6.1003227
1.6,2.3586624
0.0,5.0869713
0.9,0.4111677
2.8,5.741707
3.3,14.333833
0.6,19.167944
18.6,10.8175745
0.2,9.271301
0.0,6.389756
19.2,10.19344
0.0,9.5371475
1.2,8.642336
38.6,12.463629
6.4,14.048829
0.0,8.065944
16.4,16.508192
0.0,9.85093
16.5,15.167599
0.0,8.123992
0.0,6.965788
39.6,7.998367
0.0,12.939666
5.2,9.170011
0.2,9.265856
62.4,18.379114
10.9,9.586528
7.1,14.966646
26.3,14.756864
5.9,15.924388
4.9,14.537761
3.8,11.959796
13.9,14.8562975
34.6,15.450641
3.1,12.532991
31.9,15.432266
2.7,13.113574
13.4,16.146933
111.4,14.168011
0.5,10.847178
0.5,11.782713
10.3,13.084022
0.4,8.205421
0.0,9.754397
0.0,9.199725
3.0,5.625379
66.0,12.666718
39.2,15.282185
8.8,7.54116
0.3,10.580188
25.9,12.337838
0.3,2.9627512
2.0,16.088203
0.0,8.095905
2.2,10.708939
0.3,7.2415276
1.0,10.262752
0.0,8.7539
5.9,7.3057904
1.5,9.383152
2.6,3.1094747
0.0,10.074126
0.0,7.986779
2.0,5.5758443
0.0,6.8852863
0.0,4.7351413
1.3,10.701987
1.8,11.021433
0.0,9.283515
0.0,7.1658163
0.0,11.71468
4.4,12.947712
0.0,6.065575
0.0,9.395656
0.4,9.528947
9.8,11.631045
0.3,11.748797
2.4,11.154261
9.8,10.670789
2.4,12.497485
27.6,8.033785
0.0,7.9043818
0.0,9.965251
62.4,20.6366
0.0,10.269284
58.6,15.7777605
0.2,12.189678
0.0,14.645628
66.0,15.857691
18.9,11.714852
2.4,12.2837
8.0,12.53216
0.5,12.114012
4.2,13.089961
0.6,11.54104
0.0,13.672922
0.0,8.043981
8.8,14.83827
32.0,13.407257
1.4,12.890069
54.4,13.90997
22.2,8.321587
16.6,8.554169
13.0,13.33781
3.2,16.137558
28.0,13.38547
66.1,17.037218
0.2,10.055642
18.8,14.940831
26.5,20.47366
23.9,13.997391
71.4,17.652649
0.0,16.088978
71.1,14.505907
0.0,12.970894
73.0,16.694193
0.0,7.754039
33.6,16.390564
6.8,16.532358
7.9,11.753271
2.6,16.732128
6.0,15.98286
0.5,13.407596
86.5,19.152023
2.2,19.78598
0.2,15.930147
111.4,8.691514
134.0,22.256153
3.8,17.307394
0.0,13.413494
0.0,10.922827
17.0,10.521893
0.8,13.91957
0.0,11.3416
12.6,10.363203
1.6,14.23744
68.8,20.50284
18.4,23.924606
57.0,11.941838
106.0,21.98353
16.2,18.719183
204.7,20.863464
224.6,21.160744
3.0,17.303057
9.2,16.671507
28.2,15.685241
5.0,11.084297
3.0,14.839467
0.0,14.496297
1.5,13.613633
14.2,15.582677
0.0,11.122764
17.0,16.32914
15.9,18.59927
29.0,18.52308
18.8,22.65205
2.2,17.381563
6.0,22.2205
5.6,16.6374
4.6,17.241964
0.7,18.124613
21.9,21.195171
3.8,10.581145
66.0,17.52089
16.0,17.734564
3.0,19.04476
1.2,18.440573
6.0,19.901175
18.2,16.791473
0.0,11.087515
4.6,12.363362
36.2,15.191091
10.0,16.136751
0.0,4.617105
13.6,8.42762
0.0,10.584801
3.6,11.93806
3.6,9.461624
1.4,12.797983
1.4,14.6092415
1.4,18.330437
0.3,10.114994
4.6,22.367208
17.2,15.501045
17.2,17.11607
0.4,20.988392
6.8,14.265222
6.8,16.622286
2.5,17.401857
15.0,25.845018
9.0,18.371773
4.4,19.40208
0.3,20.82429
24.8,16.76009
9.0,18.788252
9.0,12.038124
48.0,17.46548
48.0,20.926207
9.0,13.963272
14.0,21.729929
3.2,19.673555
5.2,19.6944
8.0,18.262327
1.0,19.026924
80.1,23.149765
8.4,19.443367
108.2,18.659641
28.8,15.576512
3.2,19.496088
6.4,26.562225
95.1,24.23936
19.4,17.16531
0.0,14.687714
0.0,18.340872
50.4,16.411652
2.2,17.269104
0.6,11.685573
30.1,19.434925
17.5,21.103664
3.0,16.331106
16.0,22.478783
6.8,18.84105
0.6,13.1137
0.2,13.0392475
0.2,11.767584
0.0,10.693857
0.0,13.31227
0.0,13.554397
0.0,14.652185
36.0,13.009633
10.0,16.995457
29.0,21.016392
27.0,17.123426
0.0,16.214584
1.4,11.7870655
0.0,14.020654
0.0,8.527794
0.6,14.049761
0.0,5.9378695
0.0,8.208676
0.0,8.308504
0.0,9.062203
0.0,9.654551
0.0,7.7011757
0.0,10.612417
0.0,7.589657
0.0,4.785858
0.0,7.6968384
0.0,11.72891
0.2,11.252174
0.2,9.296166
2.6,13.062714
27.0,10.34202
27.0,15.679376
18.2,5.711315
18.2,11.446385
10.9,9.290253
1.2,2.9447422
0.0,6.629964
20.2,13.609285
5.9,7.621142
0.0,6.9836383
0.0,11.243705
3.6,6.8349304
3.6,8.02772
1.8,15.426298
1.2,9.864502
1.2,11.254571
76.4,15.550672
16.1,10.219635
0.0,10.338979
1.5,12.314225
0.0,6.844412
1.0,6.4790244
4.9,12.329295
1.0,10.033079
66.1,12.747793
0.0,6.424132
0.0,4.4387746
0.0,7.2855945
52.3,8.477232
0.5,19.582733
0.0,7.411739
11.8,5.1292744
6.5,7.8952317
11.7,12.708771
2.0,10.254265
0.9,9.002521
2.5,7.751406
0.0,9.221549
0.0,9.784502
0.0,8.314034
0.0,0.24817137
0.0,9.585232
0.0,10.6741905
0.0,3.0471334
0.0,4.039807
1.8,5.678869
1.5,3.9379864
0.0,3.644635
0.0,6.3934493
0.0,3.3232596
0.0,6.788698
17.0,8.823159
10.0,15.69569
8.0,13.699113
4.0,16.321842
7.0,13.028301
1.0,12.042528
0.0,9.009292
0.0,13.531103
3.0,18.980625
0.0,6.506062
0.0,3.9386437
0.0,7.2533617
0.0,6.0562778
50.0,7.0746226
0.0,9.369565
35.0,4.3568373
4.0,10.883086
22.0,10.526348
43.0,9.55502
0.0,4.315226
0.0,3.917072
0.0,18.401325
84.0,15.467508
37.0,14.879145
22.0,6.027587
0.0,6.659752
11.0,14.295772
8.7,14.470155
20.5,14.275675
7.0,14.216721
1.0,15.564933
1.2,14.245419
10.2,15.1144705
15.4,15.088393
0.0,15.291674
0.0,14.512535
7.4,15.445666
12.2,15.504326
32.8,15.649378
8.4,14.225941
10.8,14.6850815
4.4,14.383994
0.0,13.944914
7.0,14.206871
2.3,13.559345
0.0,12.873378
0.0,13.115794
36.4,15.484251
0.0,14.252511
2.7,13.643757
1.0,14.209758
3.0,13.544896
31.3,13.789187
39.3,13.817149
16.9,14.861066
6.1,14.634784
0.0,14.550431
0.0,13.906778
1.2,14.421584
2.6,16.084625
0.0,14.715532
30.4,14.295528
2.6,15.816363
10.3,15.886275
3.0,16.875181
2.2,14.087384
8.0,14.822809
0.0,26.01464
0.0,14.571179
0.0,12.83631
0.0,15.446016
23.1,12.954604
2.6,15.009648
2.0,13.952359
7.1,12.303064
9.2,14.418683
73.2,15.565212
4.6,15.260023
0.0,16.480978
0.0,14.339282
0.0,14.856254
10.0,13.626642
17.6,12.25885
7.4,15.319897
0.0,14.793375
1.0,12.94252
0.2,14.114079
18.2,13.835887
0.2,14.861048
1.2,13.18331
1.1,14.888733
6.8,14.434954
1.8,14.063403
1.6,14.5426655
1.4,13.703193
19.5,15.253314
18.4,13.177808
22.8,16.574875
8.8,16.146212
0.0,14.447775
0.0,14.62806
0.0,14.376946
0.0,14.419176
0.0,14.873092
0.0,14.843941
0.0,15.173471
0.0,14.153047
0.1,14.363514
0.0,13.932306
0.0,13.937645
1.0,14.760442
0.3,13.730333
0.0,13.859405
0.0,14.032661
1.4,14.368312
45.6,14.460438
0.0,14.317507
0.0,14.265884
72.8,14.457724
3.6,14.3202095
4.4,13.731184
1.2,15.060716
33.6,14.494025
3.0,14.461384
27.8,14.552276
144.2,16.036978
2.2,15.733008
45.0,15.940088
2.2,15.396374
30.0,14.545807
19.2,15.467133
2.8,15.01885
4.6,14.2351055
0.0,15.053896
0.0,14.695026
2.4,14.602683
39.4,14.794299
81.0,15.530461
0.0,15.114474
0.0,14.920675
13.2,14.541573
43.2,15.579076
18.2,14.93586
8.0,15.258882
0.0,14.952941
0.0,14.938095
8.1,14.689205
35.4,15.332309
27.1,14.84369
9.2,15.383493
4.0,14.809525
0.8,15.132369
96.0,16.706306
56.4,15.251031
4.2,15.323568
1.5,15.703482
4.5,15.750042
0.0,15.158964
4.6,15.737876
0.0,16.056608
2.5,16.928833
66.5,16.21766
1.2,14.810058
26.0,17.012802
26.0,15.843449
1.9,15.600182
2.9,15.633195
18.8,15.22632
26.4,15.208223
14.3,15.554166
2.3,15.113826
10.6,15.664139
0.5,15.755885
35.6,15.178101
1.5,14.554747
0.0,16.689388
0.0,16.296816
3.2,15.485668
16.8,15.433643
7.4,16.853277
0.0,15.903356
0.8,15.390276
2.6,15.463941
15.6,15.902097
